PointInTime,InterbankRate,InverseInterbankRate
20140311,0.790528,1.264978
20140312,0.79106,1.264126
20140313,0.791274,1.263785
20140314,0.79139,1.2636
20140315,0.790347,1.265267
20140316,0.79183,1.262898
20140317,0.79183,1.262898
20140318,0.789497,1.266629
20140319,0.797402,1.254073
20140320,0.797882,1.253318
20140321,0.802017,1.246857
20140322,0.802665,1.245849
20140323,0.8024,1.246261
20140324,0.8024,1.246261
20140325,0.802635,1.245896
20140326,0.798566,1.252245
20140327,0.795787,1.256617
20140328,0.801252,1.248046
20140329,0.801307,1.247961
20140330,0.800748,1.248833
20140331,0.800748,1.248833
20140401,0.801679,1.247382
20140402,0.80002,1.249969
20140403,0.800089,1.249861
20140404,0.800613,1.249043
20140405,0.801057,1.248351
20140406,0.800864,1.248652
20140407,0.800864,1.248652
20140408,0.8007,1.248907
20140409,0.801152,1.248202
20140410,0.799285,1.251117
20140411,0.799794,1.250322
20140412,0.801146,1.248211
20140413,0.801161,1.248189
20140414,0.801161,1.248189
20140415,0.802083,1.246753
20140416,0.802184,1.246597
20140417,0.802234,1.24652
20140418,0.802026,1.246842
20140419,0.804116,1.243602
20140420,0.80203,1.246836
20140421,0.80203,1.246836
20140422,0.803789,1.244108
20140423,0.804832,1.242495
20140424,0.804629,1.242809
20140425,0.80521,1.241913
20140426,0.806153,1.240459
20140427,0.806579,1.239804
20140428,0.806575,1.23981
20140429,0.806628,1.239729
20140430,0.806705,1.239611
20140501,0.807414,1.238522
20140502,0.807384,1.238568
20140503,0.807364,1.238598
20140504,0.807411,1.238526
20140505,0.807414,1.238521
20140506,0.807476,1.238427
20140507,0.803151,1.245096
20140508,0.8042,1.243472
20140509,0.80342,1.24468
20140510,0.80344,1.244648
20140511,0.803408,1.244697
20140512,0.803408,1.244697
20140513,0.804597,1.242859
20140514,0.803643,1.244333
20140515,0.803635,1.244346
20140516,0.803552,1.244474
20140517,0.804336,1.243262
20140518,0.804115,1.243603
20140519,0.804063,1.243683
20140520,0.804867,1.242442
20140521,0.804766,1.242596
20140522,0.804484,1.243034
20140523,0.803904,1.24393
20140524,0.803977,1.243816
20140525,0.804381,1.243193
20140526,0.804401,1.243161
20140527,0.804717,1.242672
20140528,0.805845,1.240933
20140529,0.806657,1.239685
20140530,0.804608,1.242841
20140531,0.806202,1.240384
20140601,0.805863,1.240905
20140602,0.805863,1.240905
20140603,0.80553,1.241419
20140604,0.806869,1.239359
20140605,0.806844,1.239397
20140606,0.806793,1.239475
20140607,0.806376,1.240117
20140608,0.806246,1.240317
20140609,0.806246,1.240317
20140610,0.806519,1.239896
20140611,0.806516,1.239902
20140612,0.803441,1.244647
20140613,0.803065,1.24523
20140614,0.802216,1.246547
20140615,0.80106,1.248345
20140616,0.80106,1.248345
20140617,0.803537,1.244497
20140618,0.803191,1.245035
20140619,0.803945,1.243866
20140620,0.804071,1.243671
20140621,0.803625,1.244361
20140622,0.802985,1.245353
20140623,0.802985,1.245353
20140624,0.803165,1.245074
20140625,0.803565,1.244455
20140626,0.804337,1.243261
20140627,0.803927,1.243894
20140628,0.802048,1.246808
20140629,0.802249,1.246495
20140630,0.802249,1.246495
20140701,0.800402,1.249372
20140702,0.799855,1.250227
20140703,0.799992,1.250012
20140704,0.801298,1.247975
20140705,0.800511,1.249202
20140706,0.800508,1.249206
20140707,0.800508,1.249206
20140708,0.800633,1.249012
20140709,0.800059,1.249907
20140710,0.80016,1.24975
20140711,0.800254,1.249603
20140712,0.542257,1.844145
20140713,0.800454,1.249291
20140714,0.800454,1.249291
20140715,0.800643,1.248996
20140716,0.800514,1.249198
20140717,0.8005,1.249219
20140718,0.800616,1.249039
20140719,0.800906,1.248587
20140720,0.800919,1.248566
20140721,0.800919,1.248566
20140722,0.800763,1.248809
20140723,0.800377,1.249412
20140724,0.799674,1.25051
20140725,0.799746,1.250396
20140726,0.799027,1.251522
20140727,0.798919,1.251692
20140728,0.798919,1.251692
20140729,0.798441,1.25244
20140730,0.797475,1.253958
20140731,0.796445,1.255579
20140801,0.796379,1.255684
20140802,0.79748,1.25395
20140803,0.797383,1.254102
20140804,0.797383,1.254102
20140805,0.797513,1.253899
20140806,0.797158,1.254456
20140807,0.796214,1.255944
20140808,0.795067,1.257755
20140809,0.795074,1.257745
20140810,0.79419,1.259144
20140811,0.794184,1.259153
20140812,0.793923,1.259568
20140813,0.79444,1.258749
20140814,0.794464,1.25871
20140815,0.7945,1.258653
20140816,0.793953,1.25952
20140817,0.793174,1.260757
20140818,0.793159,1.260781
20140819,0.792578,1.261705
20140820,0.792356,1.262059
20140821,0.792191,1.262322
20140822,0.793728,1.259877
20140823,0.793734,1.259868
20140825,0.793732,1.259872
20140826,0.794101,1.259286
20140827,0.793827,1.25972
20140828,0.792676,1.261549
20140829,0.792616,1.261645
20140830,0.792675,1.261551
20140831,0.792676,1.261549
20140901,0.792687,1.261533
20140902,0.792499,1.261832
20140903,0.793297,1.260561
20140904,0.792366,1.262043
20140905,0.79204,1.262563
20140906,0.792314,1.262126
20140908,0.792295,1.262155
20140909,0.792274,1.26219
20140910,0.791693,1.263116
20140911,0.791787,1.262965
20140912,0.790972,1.264268
20140913,0.791495,1.263431
20140914,0.791495,1.263431
20140915,0.792424,1.261951
20140916,0.792925,1.261154
20140917,0.792925,1.261154
20140918,0.792124,1.262428
20140919,0.792094,1.262477
20140920,0.792539,1.261768
20140921,0.792277,1.262184
20140922,0.792277,1.262184
20140923,0.792124,1.262429
20140924,0.792097,1.262471
20140926,0.791306,1.263734
20140927,0.790117,1.265635
20140928,0.789823,1.266106
20140929,0.789788,1.266162
20140930,0.791756,1.263016
20141001,0.79239,1.262004
20141002,0.790623,1.264826
20141003,0.79145,1.263504
20141004,0.79145,1.263504
20141005,0.79145,1.263504
20141006,0.791563,1.263324
20141007,0.791674,1.263145
20141008,0.791674,1.263145
20141009,0.791617,1.263238
20141010,0.790701,1.2647
20141011,0.790142,1.265595
20141012,0.790284,1.265368
20141013,0.790284,1.265368
20141014,0.78928,1.266978
20141015,0.789498,1.266627
20141016,0.78951,1.266608
20141017,0.789384,1.26681
20141018,0.788979,1.267461
20141019,0.78944,1.266721
20141020,0.78944,1.266721
20141021,0.789068,1.267318
20141022,0.789406,1.266775
20141023,0.789274,1.266987
20141024,0.788704,1.267902
20141025,0.788696,1.267915
20141026,0.78854,1.268166
20141027,0.78854,1.268166
20141028,0.788476,1.268269
20141029,0.788068,1.268927
20141030,0.788077,1.268911
20141031,0.788439,1.268329
20141101,0.788181,1.268745
20141102,0.788236,1.268655
20141103,0.788236,1.268655
20141104,0.788983,1.267454
20141105,0.788829,1.267702
20141106,0.78866,1.267974
20141107,0.788371,1.268438
20141108,0.789776,1.266181
20141109,0.789757,1.266212
20141110,0.789757,1.266212
20141111,0.789179,1.26714
20141112,0.789787,1.266164
20141113,0.790002,1.26582
20141114,0.789763,1.266203
20141115,0.790451,1.265101
20141116,0.790424,1.265144
20141117,0.790424,1.265144
20141118,0.789749,1.266226
20141119,0.789343,1.266876
20141120,0.789095,1.267275
20141121,0.789524,1.266586
20141122,0.789529,1.266577
20141123,0.789444,1.266715
20141124,0.789444,1.266715
20141125,0.791825,1.262905
20141126,0.791292,1.263756
20141127,0.791758,1.263012
20141128,0.791869,1.262836
20141129,0.792163,1.262366
20141130,0.792172,1.262353
20141201,0.792172,1.262353
20141202,0.793356,1.260469
20141203,0.792957,1.261102
20141204,0.793251,1.260635
20141205,0.793941,1.25954
20141206,0.793467,1.260292
20141207,0.793462,1.2603
20141208,0.793462,1.2603
20141209,0.796404,1.255645
20141210,0.798086,1.252997
20141211,0.796869,1.254911
20141212,0.798416,1.25248
20141213,0.798062,1.253035
20141214,0.798186,1.252841
20141215,0.798186,1.252841
20141216,0.798491,1.252362
20141217,0.798232,1.252768
20141218,0.799114,1.251385
20141219,0.801215,1.248104
20141220,0.802127,1.246686
20141221,0.80219,1.246588
20141222,0.80219,1.246588
20141223,0.802126,1.246687
20141224,0.802552,1.246025
20141225,0.800779,1.248784
20141226,0.800884,1.24862
20141227,0.800791,1.248765
20141228,0.800967,1.248492
20141229,0.800967,1.248492
20141230,0.802059,1.246791
20141231,0.799368,1.250988
20150104,0.80011,1.249828
20150105,0.80011,1.249828
20150106,0.80174,1.247288
20150107,0.801208,1.248116
20150108,0.801284,1.247996
20150109,0.801188,1.248147
20150110,0.80101,1.248424
20150111,0.801027,1.248398
20150112,0.801027,1.248398
20150113,0.800144,1.249774
20150114,0.799365,1.250992
20150115,0.798764,1.251935
20150116,0.797988,1.253152
20150117,0.800476,1.249256
20150118,0.800831,1.248703
20150119,0.800831,1.248703
20150120,0.801998,1.246886
20150121,0.8017,1.247349
20150122,0.801448,1.247741
20150123,0.800937,1.248538
20150124,0.80344,1.244648
20150125,0.803341,1.244802
20150126,0.803341,1.244802
20150127,0.806936,1.239256
20150128,0.805601,1.241309
20150129,0.80575,1.241079
20150130,0.805815,1.24098
20150131,0.80624,1.240325
20150201,0.806331,1.240186
20150202,0.806331,1.240186
20150203,0.807354,1.238614
20150204,0.806771,1.23951
20150205,0.80594,1.240788
20150206,0.806513,1.239905
20150207,0.805354,1.24169
20150208,0.80533,1.241727
20150209,0.80533,1.241727
20150210,0.805946,1.240778
20150211,0.805026,1.242195
20150212,0.804963,1.242294
20150213,0.805331,1.241725
20150214,0.804638,1.242794
20150215,0.804676,1.242737
20150216,0.804608,1.242841
20150217,0.805406,1.241609
20150218,0.806079,1.240573
20150219,0.806071,1.240586
20150220,0.806166,1.240439
20150221,0.806178,1.240421
20150222,0.806003,1.24069
20150223,0.806003,1.24069
20150224,0.80637,1.240125
20150225,0.806391,1.240094
20150226,0.806991,1.239171
