PointInTime,InterbankRate,InverseInterbankRate
20140311,6.1357,0.162981
20140312,6.14025,0.16286
20140313,6.145,0.162734
20140314,6.1455,0.162721
20140315,6.138,0.16292
20140316,6.1503,0.162594
20140317,6.1503,0.162594
20140318,6.131,0.163106
20140319,6.1935,0.16146
20140320,6.196,0.161394
20140321,6.2275,0.160578
20140322,6.2274,0.160581
20140323,6.2251,0.16064
20140324,6.2251,0.16064
20140325,6.2274,0.160581
20140326,6.19425,0.16144
20140327,6.174,0.16197
20140328,6.216,0.160875
20140329,6.216,0.160875
20140330,6.2122,0.160974
20140331,6.2122,0.160974
20140401,6.2185,0.16081
20140402,6.2055,0.161147
20140403,6.2057,0.161142
20140404,6.2107,0.161012
20140405,6.2135,0.16094
20140406,6.2123,0.160971
20140407,6.2123,0.160971
20140408,6.21,0.161031
20140409,6.212,0.160979
20140410,6.197,0.161368
20140411,6.201,0.161264
20140412,6.211,0.161005
20140413,6.2114,0.160994
20140414,6.2114,0.160994
20140415,6.219,0.160798
20140416,6.22025,0.160765
20140417,6.221,0.160746
20140418,6.219,0.160798
20140419,6.23525,0.160378
20140420,6.2191,0.160795
20140421,6.2191,0.160795
20140422,6.2325,0.160449
20140423,6.2395,0.160269
20140424,6.238,0.160308
20140425,6.243,0.160179
20140426,6.2505,0.159987
20140427,6.2537,0.159905
20140428,6.2537,0.159905
20140429,6.254,0.159898
20140430,6.2545,0.159885
20140501,6.26,0.159744
20140502,6.2594,0.15976
20140503,6.2595,0.159757
20140504,6.2594,0.15976
20140505,6.2594,0.15976
20140506,6.25975,0.159751
20140507,6.226,0.160617
20140508,6.2343,0.160403
20140509,6.228,0.160565
20140510,6.228,0.160565
20140511,6.2277,0.160573
20140512,6.2277,0.160573
20140513,6.237,0.160333
20140514,6.2295,0.160527
20140515,6.2295,0.160527
20140516,6.229,0.160539
20140517,6.23525,0.160378
20140518,6.2335,0.160424
20140519,6.2335,0.160424
20140520,6.23925,0.160276
20140521,6.23925,0.160276
20140522,6.237,0.160333
20140523,6.2335,0.160424
20140524,6.2335,0.160424
20140525,6.2366,0.160344
20140526,6.2366,0.160344
20140527,6.2395,0.160269
20140528,6.248,0.160051
20140529,6.254,0.159898
20140530,6.238,0.160308
20140531,6.2505,0.159987
20140601,6.2479,0.160054
20140602,6.2479,0.160054
20140603,6.246,0.160102
20140604,6.2555,0.159859
20140605,6.2555,0.159859
20140606,6.25475,0.159878
20140607,6.2515,0.159962
20140608,6.2505,0.159987
20140609,6.2505,0.159987
20140610,6.25175,0.159955
20140611,6.25175,0.159955
20140612,6.228,0.160565
20140613,6.225,0.160643
20140614,6.2184,0.160813
20140615,6.2095,0.161044
20140616,6.2095,0.161044
20140617,6.22825,0.160559
20140618,6.226,0.160617
20140619,6.2315,0.160475
20140620,6.232,0.160462
20140621,6.22925,0.160533
20140622,6.2245,0.160655
20140623,6.2245,0.160655
20140624,6.2255,0.16063
20140625,6.22895,0.160541
20140626,6.235,0.160385
20140627,6.232,0.160462
20140628,6.2175,0.160836
20140629,6.2185,0.16081
20140630,6.2185,0.16081
20140701,6.2035,0.161199
20140702,6.199,0.161316
20140703,6.2,0.16129
20140704,6.21025,0.161024
20140705,6.2041,0.161184
20140706,6.2041,0.161184
20140707,6.2041,0.161184
20140708,6.205,0.16116
20140709,6.2005,0.161277
20140710,6.20125,0.161258
20140711,6.202,0.161238
20140712,4.2025,0.237954
20140713,6.2036,0.161197
20140714,6.2036,0.161197
20140715,6.205,0.16116
20140716,6.204,0.161186
20140717,6.20425,0.16118
20140718,6.2055,0.161147
20140719,6.208,0.161082
20140720,6.208,0.161082
20140721,6.208,0.161082
20140722,6.20725,0.161102
20140723,6.204,0.161186
20140724,6.198,0.161342
20140725,6.19825,0.161336
20140726,6.1925,0.161486
20140727,6.1917,0.161507
20140728,6.1917,0.161507
20140729,6.188,0.161603
20140730,6.1805,0.161799
20140731,6.1725,0.162009
20140801,6.172,0.162022
20140802,6.1805,0.161799
20140803,6.1798,0.161818
20140804,6.1798,0.161818
20140805,6.18075,0.161793
20140806,6.178,0.161865
20140807,6.171,0.162048
20140808,6.1625,0.162272
20140809,6.163,0.162259
20140810,6.1562,0.162438
20140811,6.1562,0.162438
20140812,6.154,0.162496
20140813,6.158,0.16239
20140814,6.158,0.16239
20140815,6.158,0.16239
20140816,6.1535,0.162509
20140817,6.1473,0.162673
20140818,6.1473,0.162673
20140819,6.143,0.162787
20140820,6.1413,0.162832
20140821,6.14,0.162866
20140822,6.1515,0.162562
20140823,6.1515,0.162562
20140825,6.1515,0.162562
20140826,6.1544,0.162485
20140827,6.1526,0.162533
20140828,6.1433,0.162779
20140829,6.1428,0.162792
20140830,6.1434,0.162776
20140831,6.1434,0.162776
20140901,6.1434,0.162776
20140902,6.142,0.162813
20140903,6.1483,0.162647
20140904,6.1411,0.162837
20140905,6.1386,0.162904
20140906,6.1405,0.162853
20140908,6.1405,0.162853
20140909,6.1405,0.162853
20140910,6.136,0.162973
20140911,6.13655,0.162958
20140912,6.1305,0.163119
20140913,6.1346,0.16301
20140914,6.1346,0.16301
20140915,6.142,0.162813
20140916,6.146,0.162707
20140917,6.146,0.162707
20140918,6.14,0.162866
20140919,6.1395,0.16288
20140920,6.143,0.162787
20140921,6.1411,0.162837
20140922,6.1411,0.162837
20140923,6.14,0.162866
20140924,6.14,0.162866
20140926,6.1355,0.162986
20140927,6.1295,0.163145
20140928,6.1271,0.163209
20140929,6.1271,0.163209
20140930,6.1495,0.162615
20141001,6.1525,0.162536
20141002,6.139,0.162893
20141003,6.139,0.162893
20141004,6.139,0.162893
20141005,6.139,0.162893
20141006,6.139,0.162893
20141007,6.139,0.162893
20141008,6.139,0.162893
20141009,6.1405,0.162853
20141010,6.133,0.163052
20141011,6.1311,0.163103
20141012,6.1311,0.163103
20141013,6.1311,0.163103
20141014,6.124,0.163292
20141015,6.124,0.163292
20141016,6.124,0.163292
20141017,6.124,0.163292
20141018,6.1215,0.163359
20141019,6.124,0.163292
20141020,6.124,0.163292
20141021,6.1215,0.163359
20141022,6.123,0.163319
20141023,6.1225,0.163332
20141024,6.118,0.163452
20141025,6.118,0.163452
20141026,6.1171,0.163476
20141027,6.1171,0.163476
20141028,6.1165,0.163492
20141029,6.1133,0.163578
20141030,6.1112,0.163634
20141031,6.1145,0.163546
20141101,6.1127,0.163594
20141102,6.1127,0.163594
20141103,6.1127,0.163594
20141104,6.1183,0.163444
20141105,6.1153,0.163524
20141106,6.114,0.163559
20141107,6.112,0.163613
20141108,6.1228,0.163324
20141109,6.1228,0.163324
20141110,6.1228,0.163324
20141111,6.1195,0.163412
20141112,6.1245,0.163279
20141113,6.1262,0.163233
20141114,6.1248,0.163271
20141115,6.1295,0.163145
20141116,6.1295,0.163145
20141117,6.1295,0.163145
20141118,6.1243,0.163284
20141119,6.1213,0.163364
20141120,6.1195,0.163412
20141121,6.1235,0.163305
20141122,6.1249,0.163268
20141123,6.1249,0.163268
20141124,6.1249,0.163268
20141125,6.1417,0.162821
20141126,6.1365,0.162959
20141127,6.1391,0.16289
20141128,6.1391,0.16289
20141129,6.1432,0.162782
20141130,6.1432,0.162782
20141201,6.1432,0.162782
20141202,6.152,0.162549
20141203,6.1495,0.162615
20141204,6.1502,0.162596
20141205,6.1546,0.16248
20141206,6.1502,0.162596
20141207,6.1502,0.162596
20141208,6.1502,0.162596
20141209,6.173,0.161996
20141210,6.1878,0.161608
20141211,6.1766,0.161901
20141212,6.1886,0.161587
20141213,6.1869,0.161632
20141214,6.1869,0.161632
20141215,6.1869,0.161632
20141216,6.1905,0.161538
20141217,6.1895,0.161564
20141218,6.197,0.161368
20141219,6.2145,0.160914
20141220,6.2199,0.160774
20141221,6.2199,0.160774
20141222,6.2199,0.160774
20141223,6.2216,0.16073
20141224,6.2259,0.160619
20141225,6.2153,0.160893
20141226,6.2153,0.160893
20141227,6.2153,0.160893
20141228,6.2153,0.160893
20141229,6.2153,0.160893
20141230,6.2225,0.160707
20141231,6.202,0.161238
20150104,6.2061,0.161132
20150105,6.2061,0.161132
20150106,6.2184,0.160813
20150107,6.212,0.160979
20150108,6.214,0.160927
20150109,6.2135,0.16094
20150110,6.2103,0.161023
20150111,6.2103,0.161023
20150112,6.2103,0.161023
20150113,6.2034,0.161202
20150114,6.1976,0.161353
20150115,6.194,0.161447
20150116,6.1875,0.161616
20150117,6.207,0.161108
20150118,6.207,0.161108
20150119,6.207,0.161108
20150120,6.218,0.160823
20150121,6.2149,0.160904
20150122,6.2117,0.160987
20150123,6.209,0.161057
20150124,6.2279,0.160568
20150125,6.2279,0.160568
20150126,6.2279,0.160568
20150127,6.2558,0.159852
20150128,6.2451,0.160126
20150129,6.2465,0.16009
20150130,6.2466,0.160087
20150131,6.251,0.159974
20150201,6.251,0.159974
20150202,6.251,0.159974
20150203,6.2595,0.159757
20150204,6.2557,0.159854
20150205,6.2477,0.160059
20150206,6.2521,0.159946
20150207,6.2434,0.160169
20150208,6.2434,0.160169
20150209,6.2434,0.160169
20150210,6.2488,0.160031
20150211,6.2418,0.16021
20150212,6.2423,0.160197
20150213,6.2445,0.160141
20150214,6.2403,0.160249
20150215,6.2403,0.160249
20150216,6.2403,0.160249
20150217,6.2486,0.160036
20150218,6.2541,0.159895
20150219,6.2541,0.159895
20150220,6.2541,0.159895
20150221,6.2541,0.159895
20150222,6.2541,0.159895
20150223,6.2541,0.159895
20150224,6.2551,0.15987
20150225,6.2551,0.15987
20150226,6.2595,0.159757
20150227,6.2595,0.159757
20150228,6.2686,0.159525
20150301,6.2686,0.159525
20150302,6.2686,0.159525
20150303,6.2737,0.159396
20150304,6.2737,0.159396
20150305,6.2706,0.159474
20150306,6.2674,0.159556
20150307,6.2638,0.159647
20150308,6.2638,0.159647
20150309,6.2638,0.159647
20150310,6.265,0.159617
20150311,6.262,0.159693
20150312,6.262,0.159693
20150313,6.262,0.159693
20150314,6.2587,0.159778
20150315,6.2587,0.159778
20150316,6.2587,0.159778
20150317,6.2618,0.159698
20150318,6.2495,0.160013
20150319,6.2287,0.160547
20150320,6.196,0.161394
20150321,6.206,0.161134
20150322,6.206,0.161134
20150323,6.206,0.161134
20150324,6.215,0.160901
20150325,6.2053,0.161153
20150326,6.211,0.161005
20150327,6.2114,0.160994
20150328,6.2152,0.160896
20150329,6.2152,0.160896
20150330,6.2152,0.160896
20150331,6.2065,0.161121
20150401,6.1975,0.161355
20150402,6.1971,0.161366
20150403,6.197,0.161368
20150404,6.197,0.161368
20150405,6.197,0.161368
20150406,6.197,0.161368
20150407,6.197,0.161368
20150408,6.1982,0.161337
20150409,6.2014,0.161254
20150410,6.2047,0.161168
20150411,6.2091,0.161054
20150412,6.2091,0.161054
20150413,6.2091,0.161054
20150414,6.2147,0.160909
20150415,6.2121,0.160976
20150416,6.2037,0.161194
20150417,6.1969,0.161371
20150418,6.1966,0.161379
20150419,6.1966,0.161379
20150420,6.1966,0.161379
20150421,6.2019,0.161241
20150422,6.2019,0.161241
20150423,6.1957,0.161402
