PointInTime,InterbankRate,InverseInterbankRate
20140310,1065.1,0.000939
20140311,1067.3,0.000937
20140312,1065.85,0.000938
20140313,1070.8,0.000934
20140314,1068.35,0.000936
20140315,1072,0.000933
20140316,1071.2,0.000934
20140317,1071.2,0.000934
20140318,1067.55,0.000937
20140319,1069.4,0.000935
20140320,1070.95,0.000934
20140321,1077.25,0.000928
20140322,1080,0.000926
20140323,1079.95,0.000926
20140324,1079.95,0.000926
20140325,1077.6,0.000928
20140326,1079.3,0.000927
20140327,1075.2,0.00093
20140328,1071.95,0.000933
20140329,1068.9,0.000936
20140330,1070,0.000935
20140331,1070,0.000935
20140401,1064.7,0.000939
20140402,1058.65,0.000945
20140403,1058.51,0.000945
20140404,1058.2,0.000945
20140405,1054.3,0.000948
20140406,1054,0.000949
20140407,1054,0.000949
20140408,1055.6,0.000947
20140409,1052.2,0.00095
20140410,1041.7,0.00096
20140411,1040.1,0.000961
20140412,1035.75,0.000965
20140413,1032.05,0.000969
20140414,1035.6,0.000966
20140415,1039.7,0.000962
20140416,1041.55,0.00096
20140417,1038.5,0.000963
20140418,1038.45,0.000963
20140419,1038.5,0.000963
20140420,1038.6,0.000963
20140421,1038.6,0.000963
20140422,1040.25,0.000961
20140423,1037.65,0.000964
20140424,1039.6,0.000962
20140425,1038.46,0.000963
20140426,1041.1,0.000961
20140427,1041.2,0.00096
20140428,1041.3,0.00096
20140429,1035.25,0.000966
20140430,1030.4,0.00097
20140501,1033.4,0.000968
20140502,1033.3,0.000968
20140503,1030.15,0.000971
20140504,1029.9,0.000971
20140505,1029.8,0.000971
20140506,1030,0.000971
20140507,1030.35,0.000971
20140508,1022.6,0.000978
20140509,1022.55,0.000978
20140510,1024.3,0.000976
20140511,1024.2,0.000976
20140512,1024.2,0.000976
20140513,1024.6,0.000976
20140514,1022.99,0.000978
20140515,1027.7,0.000973
20140516,1025,0.000976
20140517,1023.9,0.000977
20140518,1024.1,0.000976
20140519,1022.3,0.000978
20140520,1022.5,0.000978
20140521,1025.3,0.000975
20140522,1027.1,0.000974
20140523,1024.9,0.000976
20140524,1024.6,0.000976
20140525,1025.1,0.000976
20140526,1024.8,0.000976
20140527,1024.3,0.000976
20140528,1023.3,0.000977
20140529,1022,0.000978
20140530,1021.1,0.000979
20140531,1020.7,0.00098
20140601,1020.9,0.00098
20140602,1020.9,0.00098
20140603,1024.6,0.000976
20140604,1023.7,0.000977
20140605,1023.6,0.000977
20140606,1020.2,0.00098
20140607,1019.9,0.00098
20140608,1020.1,0.00098
20140609,1020.1,0.00098
20140610,1016.7,0.000984
20140611,1017.2,0.000983
20140612,1015.5,0.000985
20140613,1017.3,0.000983
20140614,1018.1,0.000982
20140615,1018.1,0.000982
20140616,1018.1,0.000982
20140617,1020.5,0.00098
20140618,1022.2,0.000978
20140619,1022.15,0.000978
20140620,1019.5,0.000981
20140621,1021.1,0.000979
20140622,1021,0.000979
20140623,1021,0.000979
20140624,1018.37,0.000982
20140625,1018.4,0.000982
20140626,1019.9,0.00098
20140627,1016.7,0.000984
20140628,1013.6,0.000987
20140629,1014,0.000986
20140630,1014,0.000986
20140701,1012,0.000988
20140702,1011,0.000989
20140703,1009.15,0.000991
20140704,1009,0.000991
20140705,1009.5,0.000991
20140706,1009.2,0.000991
20140707,1009.2,0.000991
20140708,1011.6,0.000989
20140709,1012,0.000988
20140710,1012.2,0.000988
20140711,1013.5,0.000987
20140712,1018.9,0.000981
20140713,1019.1,0.000981
20140714,1019.1,0.000981
20140715,1019.2,0.000981
20140716,1028.5,0.000972
20140717,1032.3,0.000969
20140718,1029.3,0.000972
20140719,1029.2,0.000972
20140720,1029.65,0.000971
20140721,1029.65,0.000971
20140722,1027.05,0.000974
20140723,1024.35,0.000976
20140724,1023.75,0.000977
20140725,1029.3,0.000972
20140726,1025.9,0.000975
20140727,1026.05,0.000975
20140728,1026.05,0.000975
20140729,1026.45,0.000974
20140730,1026.45,0.000974
20140731,1025.25,0.000975
20140801,1027.95,0.000973
20140802,1031.05,0.00097
20140803,1037.55,0.000964
20140804,1037.55,0.000964
20140805,1033.1,0.000968
